case_id,spider_question_id,database_id,split,model_source,difficulty_tier,num_checkpoints,num_checkable_checkpoints,num_unverifiable_checkpoints,endpoint_correct,checkpoint_degraded_flag,deep_nesting_flag,boundary_flag,include_onset_eval,include_pattern_eval,exclusion_reason,created_at,input_hash_or_manifest
dtest_case_0044,spider_q9662,geo,dtest,gemini-pro,easy,3,2,1,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,8fb5e344f0233dcd
dtest_case_0045,spider_q7361,academic,dtest,claude-3,complex,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,47246178c0a5d445
dtest_case_0046,spider_q2948,imdb,dtest,gpt-4,medium,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,8663bcf7ffca5fe7
dtest_case_0047,spider_q8094,world,dtest,mistral,easy,3,3,0,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,ca2619d3a8591bb8
dtest_case_0048,spider_q7318,restaurant,dtest,codellama,medium,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,5bc98c7650c5ffd8
dtest_case_0049,spider_q4796,world,dtest,mistral,medium,3,2,1,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,f16b632dffe42137
dtest_case_0050,spider_q1234,geo,dtest,gemini-pro,medium,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,77757a1a5276ca84
dtest_case_0051,spider_q4607,hr,dtest,codellama,medium,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,5de0167aa498abdc
dtest_case_0052,spider_q9043,restaurant,dtest,codellama,complex,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,cebbcbd7d18c7d87
dtest_case_0053,spider_q1522,academic,dtest,gpt-4,hard,3,3,0,False,True,True,False,True,True,,2025-01-15 08:30:00,4cb6bfbe5faf3dbc
dtest_case_0054,spider_q6904,restaurant,dtest,gemini-pro,medium,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,b80dbd3e1653e56b
dtest_case_0055,spider_q5888,hr,dtest,claude-3,hard,3,3,0,False,True,True,False,True,True,,2025-01-15 08:30:00,0f9b3b4bd8a18058
dtest_case_0056,spider_q6832,world,dtest,gpt-4,hard,3,1,2,True,True,False,True,True,True,,2025-01-15 08:30:00,d612f0d96a75bab5
dtest_case_0057,spider_q8122,world,dtest,gpt-4,medium,3,2,1,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,744b9281258766dc
dtest_case_0058,spider_q6842,imdb,dtest,mistral,medium,3,2,1,True,True,False,False,True,True,,2025-01-15 08:30:00,f49b3af7755420d8
dtest_case_0059,spider_q2316,yelp,dtest,mistral,easy,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,8c514be00ed4ae11
dtest_case_0060,spider_q2124,restaurant,dtest,mistral,medium,3,3,0,False,True,True,False,True,True,,2025-01-15 08:30:00,fee7bfeb4d0b9f4d
dtest_case_0061,spider_q6621,geo,dtest,gpt-4,hard,3,1,2,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,6abb9eb7be425875
dtest_case_0062,spider_q6423,hr,dtest,claude-3,medium,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,3b505ea92b527277
dtest_case_0063,spider_q3587,hr,dtest,codellama,hard,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,a713fb8bfb119836
dtest_case_0064,spider_q6672,hr,dtest,mistral,hard,3,3,0,False,True,True,False,True,True,,2025-01-15 08:30:00,25a7c2b46df4edf9
dtest_case_0065,spider_q2378,geo,dtest,claude-3,easy,3,1,2,False,True,True,False,True,True,,2025-01-15 08:30:00,1578d2a948398d39
dtest_case_0066,spider_q4374,yelp,dtest,gemini-pro,hard,3,2,1,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,c0ec33e45faf0843
dtest_case_0067,spider_q2519,world,dtest,mistral,medium,3,2,1,False,False,True,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,c424e67a104882f1
dtest_case_0068,spider_q6777,imdb,dtest,codellama,complex,3,2,1,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,c5d536e3fa8146a2
dtest_case_0069,spider_q8935,imdb,dtest,gemini-pro,medium,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,af5c0a88c3aef90f
dtest_case_0070,spider_q7093,geo,dtest,gemini-pro,complex,3,1,2,False,True,True,False,True,True,,2025-01-15 08:30:00,f152cad3a67645b7
dtest_case_0071,spider_q9418,imdb,dtest,codellama,hard,3,2,1,True,False,True,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,267483d43be8e4ee
dtest_case_0072,spider_q6355,hr,dtest,mistral,easy,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,76b3db2e12913e16
dtest_case_0073,spider_q5968,scholar,dtest,gpt-4,hard,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,56af05d21d628f41
dtest_case_0074,spider_q6574,yelp,dtest,codellama,complex,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,c86dedc04026e45b
dtest_case_0075,spider_q5072,world,dtest,codellama,hard,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,53a8e4d0df74ca5d
dtest_case_0076,spider_q3257,scholar,dtest,codellama,complex,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,39f624dec67be533
dtest_case_0077,spider_q9588,yelp,dtest,gemini-pro,complex,3,2,1,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,9628ac2dfdd32691
dtest_case_0078,spider_q5424,academic,dtest,claude-3,medium,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,d485efb0edb58aa8
dtest_case_0079,spider_q4237,restaurant,dtest,gpt-4,medium,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,319190a23f5b7dc2
dtest_case_0080,spider_q4893,geo,dtest,mistral,hard,3,0,3,False,True,True,True,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,1679b05378742da0
dtest_case_0081,spider_q3005,hr,dtest,mistral,medium,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,48ae4341fbfaf4d3
dtest_case_0082,spider_q3016,imdb,dtest,claude-3,complex,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,16cda844bb88f2c1
dtest_case_0083,spider_q2772,academic,dtest,codellama,complex,3,0,3,True,False,False,True,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,e6e78fba228a2dfb
dtest_case_0084,spider_q9353,imdb,dtest,gpt-4,medium,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,111a7a6db9ccac9f
dtest_case_0085,spider_q4976,scholar,dtest,mistral,medium,3,2,1,False,True,True,False,True,True,,2025-01-15 08:30:00,60b03b0ca7bdd27c
dtest_case_0086,spider_q2751,world,dtest,mistral,hard,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,a75c0fe48f2340e2
dtest_case_0087,spider_q9967,world,dtest,codellama,medium,3,1,2,False,True,True,False,True,True,,2025-01-15 08:30:00,7023cb2f70c93968
dtest_case_0088,spider_q8430,world,dtest,claude-3,complex,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,0be8ad080c14c144
dtest_case_0089,spider_q8170,hr,dtest,gpt-4,medium,3,2,1,False,True,True,False,True,True,,2025-01-15 08:30:00,9522200974c75508
dtest_case_0090,spider_q7469,imdb,dtest,claude-3,hard,3,3,0,True,False,True,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,d17dd4b6e4651f61
dtest_case_0091,spider_q4220,academic,dtest,claude-3,easy,3,2,1,False,True,True,False,True,True,,2025-01-15 08:30:00,84f4fbadab93b50d
dtest_case_0092,spider_q1539,world,dtest,gpt-4,hard,3,1,2,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,52bb00f040ef99c5
dtest_case_0093,spider_q2461,academic,dtest,gpt-4,medium,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,069316bbad9a0855
dtest_case_0094,spider_q6184,imdb,dtest,mistral,hard,3,0,3,False,True,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,067505deb420417b
dtest_case_0095,spider_q9547,hr,dtest,mistral,medium,3,0,3,False,True,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,718d799b9e903eb4
dtest_case_0096,spider_q1234,scholar,dtest,gpt-4,hard,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,cebf4b7d7f168c5a
dtest_case_0097,spider_q2548,hr,dtest,gemini-pro,complex,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,981e85dccf675be9
dtest_case_0098,spider_q8480,academic,dtest,mistral,medium,3,2,1,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,34620f7b1108e2d0
dtest_case_0099,spider_q5213,hr,dtest,gemini-pro,easy,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,0b751521c386d3e8
dtest_case_0100,spider_q2673,hr,dtest,gpt-4,easy,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,82aa78915cf711c5
dtest_case_0101,spider_q7708,scholar,dtest,mistral,hard,3,1,2,False,True,True,False,True,True,,2025-01-15 08:30:00,b291ca06ce8c75de
dtest_case_0102,spider_q8982,imdb,dtest,claude-3,hard,3,2,1,False,True,False,True,True,True,,2025-01-15 08:30:00,28fae97b769cb466
dtest_case_0103,spider_q3100,imdb,dtest,gpt-4,hard,3,2,1,False,True,True,False,True,True,,2025-01-15 08:30:00,110617ff1b032875
dtest_case_0104,spider_q4748,geo,dtest,codellama,medium,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,66c0838d8ecf71ff
dtest_case_0105,spider_q4173,hr,dtest,gemini-pro,medium,3,2,1,True,True,False,False,True,True,,2025-01-15 08:30:00,bc901e0d5b72a2d7
dtest_case_0106,spider_q2815,imdb,dtest,gpt-4,hard,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,472fe81369617fcd
dtest_case_0107,spider_q4841,imdb,dtest,gpt-4,medium,3,3,0,False,True,True,False,True,True,,2025-01-15 08:30:00,2d02a98c7cf4ab53
dtest_case_0108,spider_q9016,yelp,dtest,mistral,complex,3,3,0,True,False,False,True,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,f2c530a9239912ad
dtest_case_0109,spider_q8011,world,dtest,mistral,easy,3,2,1,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,837228e4744615df
dtest_case_0110,spider_q5493,geo,dtest,mistral,hard,3,3,0,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,d7af5b45949e8bf9
dtest_case_0111,spider_q1674,restaurant,dtest,codellama,medium,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,683e24ccde28d8cc
dtest_case_0112,spider_q9088,geo,dtest,mistral,medium,3,3,0,False,True,False,True,True,True,,2025-01-15 08:30:00,d07f6009505532b8
dtest_case_0113,spider_q9578,geo,dtest,gpt-4,hard,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,c92e1ef7e96103a5
dtest_case_0114,spider_q3158,restaurant,dtest,mistral,hard,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,36576722a4cc8c0b
dtest_case_0115,spider_q3661,yelp,dtest,claude-3,complex,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,e11400bd5bbb2c8e
dtest_case_0116,spider_q3064,hr,dtest,mistral,easy,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,503b71199d067f7f
dtest_case_0117,spider_q4253,scholar,dtest,codellama,easy,3,1,2,True,False,True,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,1d857af82a3a99ce
dtest_case_0118,spider_q5979,imdb,dtest,claude-3,hard,3,3,0,False,True,False,True,True,True,,2025-01-15 08:30:00,8d1b0e5832241c5c
dtest_case_0119,spider_q8703,world,dtest,gpt-4,hard,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,d97da31a0441400b
dtest_case_0120,spider_q9931,academic,dtest,gpt-4,medium,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,b2b73034e91f5488
dtest_case_0121,spider_q2401,hr,dtest,gemini-pro,easy,3,2,1,False,True,False,True,True,True,,2025-01-15 08:30:00,f9ade76c6b1c7381
dtest_case_0122,spider_q4259,restaurant,dtest,claude-3,easy,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,99797ec9c9a821f3
dtest_case_0123,spider_q4923,scholar,dtest,gemini-pro,complex,3,2,1,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,87835fa9e51ad761
dtest_case_0124,spider_q5214,hr,dtest,claude-3,medium,3,1,2,True,True,False,False,True,True,,2025-01-15 08:30:00,e3afeb0bcfe94c50
dtest_case_0125,spider_q4227,restaurant,dtest,claude-3,medium,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,120d62d8e13fc751
dtest_case_0126,spider_q3745,imdb,dtest,codellama,medium,3,1,2,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,5cd3609aee865ec9
dtest_case_0127,spider_q7091,yelp,dtest,gemini-pro,medium,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,f20f718f3780afb9
dtest_case_0128,spider_q4866,hr,dtest,codellama,easy,3,1,2,True,False,True,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,3e7e13620cfc7d1f
dtest_case_0129,spider_q6818,restaurant,dtest,claude-3,hard,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,cc7ebe25cc72135d
dtest_case_0130,spider_q3222,imdb,dtest,gpt-4,easy,3,3,0,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,0bc62259ac514f05
dtest_case_0131,spider_q3792,imdb,dtest,claude-3,complex,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,0a88408a2ee83a1a
dtest_case_0132,spider_q5063,yelp,dtest,codellama,medium,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,6a15e2cb24ecbb2f
dtest_case_0133,spider_q2524,geo,dtest,gemini-pro,hard,3,2,1,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,048747946094d542
dtest_case_0134,spider_q9224,hr,dtest,gemini-pro,complex,3,3,0,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,8c879ff225c864af
dtest_case_0135,spider_q7198,hr,dtest,codellama,hard,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,4b2d7677978c88e2
dtest_case_0136,spider_q5025,geo,dtest,gemini-pro,hard,3,3,0,False,False,False,True,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,1b0a61e5b6ec1fbe
dtest_case_0137,spider_q3566,world,dtest,mistral,medium,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,87943f418d0e99cd
dtest_case_0138,spider_q3803,world,dtest,gpt-4,medium,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,cf00856fb505fa2a
dtest_case_0139,spider_q4709,geo,dtest,gpt-4,hard,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,9ee05127bfff511d
dtest_case_0140,spider_q7155,scholar,dtest,gpt-4,complex,3,1,2,False,True,False,True,True,True,,2025-01-15 08:30:00,2433405ac3e47ae3
dtest_case_0141,spider_q1719,academic,dtest,gemini-pro,hard,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,cf9d6509cba7ae53
dtest_case_0142,spider_q7516,imdb,dtest,gemini-pro,hard,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,d806b63bf2dde338
dtest_case_0143,spider_q5579,academic,dtest,claude-3,hard,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,8387b825eac9e304
dtest_case_0144,spider_q1972,imdb,dtest,claude-3,medium,3,3,0,False,True,False,True,True,True,,2025-01-15 08:30:00,21e7b86d252c7315
dtest_case_0145,spider_q4718,geo,dtest,gpt-4,easy,3,1,2,True,False,True,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,f4fa0cc7e48ae566
dtest_case_0146,spider_q8395,world,dtest,mistral,hard,3,1,2,False,True,True,False,True,True,,2025-01-15 08:30:00,1d7adba6d28cbcdd
dtest_case_0147,spider_q5402,scholar,dtest,claude-3,complex,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,00b4437b46d0f0fa
dtest_case_0148,spider_q5552,world,dtest,claude-3,medium,3,2,1,True,True,False,False,True,True,,2025-01-15 08:30:00,c72ed720c9871552
dtest_case_0149,spider_q3207,academic,dtest,gemini-pro,hard,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,7a9e382e27fdcc87
dtest_case_0150,spider_q5426,world,dtest,mistral,medium,3,3,0,False,True,False,True,True,True,,2025-01-15 08:30:00,6bf2eaaec736e8a1
dtest_case_0151,spider_q7919,geo,dtest,gpt-4,hard,3,0,3,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,bd1512a2c9942015
dtest_case_0152,spider_q9835,scholar,dtest,claude-3,easy,3,1,2,True,True,False,False,True,True,,2025-01-15 08:30:00,d3be05862a20b5e1
dtest_case_0153,spider_q9386,academic,dtest,mistral,medium,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,b6e034a6ec046185
dtest_case_0154,spider_q9680,scholar,dtest,mistral,hard,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,d7a6142916ecff36
dtest_case_0155,spider_q3204,hr,dtest,gpt-4,medium,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,eb19c7fef9135cf3
dtest_case_0156,spider_q6345,imdb,dtest,mistral,hard,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,4fe7944ebaa8f270
dtest_case_0157,spider_q4276,world,dtest,mistral,hard,3,2,1,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,9680fc1a9d10e79b
dtest_case_0158,spider_q2102,scholar,dtest,mistral,complex,3,1,2,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,3dcd525006d8f7c9
dtest_case_0159,spider_q6243,yelp,dtest,claude-3,medium,3,2,1,False,True,True,False,True,True,,2025-01-15 08:30:00,282c56de7c276b7d
dtest_case_0160,spider_q7614,hr,dtest,gpt-4,medium,3,3,0,False,True,False,True,True,True,,2025-01-15 08:30:00,4007f978c7806995
dtest_case_0161,spider_q9707,world,dtest,mistral,medium,3,2,1,False,True,False,True,True,True,,2025-01-15 08:30:00,4bfd121a6506bb6f
dtest_case_0162,spider_q6223,imdb,dtest,mistral,complex,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,c707253b0bffd74e
dtest_case_0163,spider_q9584,scholar,dtest,claude-3,complex,3,3,0,False,True,False,True,True,True,,2025-01-15 08:30:00,3670e9f2341713b4
dtest_case_0164,spider_q1630,academic,dtest,gpt-4,hard,3,2,1,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,beb32a99a5d36b12
dtest_case_0165,spider_q7683,imdb,dtest,gemini-pro,complex,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,68422624bb62f7f2
dtest_case_0166,spider_q1277,yelp,dtest,claude-3,hard,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,edb2c9ac4ee564f8
dtest_case_0167,spider_q1232,scholar,dtest,gpt-4,hard,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,c34419751e63c6af
dtest_case_0168,spider_q6690,restaurant,dtest,mistral,easy,3,3,0,True,True,False,False,True,True,,2025-01-15 08:30:00,6dca641e7183e360
dtest_case_0169,spider_q8659,restaurant,dtest,gpt-4,hard,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,d0208cbb85a7a0e1
dtest_case_0170,spider_q1025,geo,dtest,gpt-4,easy,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,7e7d674c1e6a9783
