case_id,endpoint_correct,execution_accuracy,exact_match,endpoint_error_type,sql_execution_error,schema_error_flag,final_answer_mismatch_flag
dtest_case_0093,False,0.04,False,syntax_error,True,False,False
dtest_case_0094,False,0.26,False,semantic_error,False,False,True
dtest_case_0095,False,0.17,False,schema_error,False,True,False
dtest_case_0096,False,0.12,False,syntax_error,True,False,False
dtest_case_0097,False,0.11,False,schema_error,False,True,False
dtest_case_0098,True,1.0,True,,False,False,False
dtest_case_0099,True,1.0,True,,False,False,False
dtest_case_0100,True,1.0,True,,False,False,False
dtest_case_0101,False,0.18,False,syntax_error,True,False,False
dtest_case_0102,False,0.21,False,schema_error,False,True,False
dtest_case_0103,False,0.1,False,syntax_error,True,False,False
dtest_case_0104,False,0.13,False,semantic_error,False,False,True
dtest_case_0105,True,1.0,True,,False,False,False
dtest_case_0106,False,0.12,False,syntax_error,True,False,False
dtest_case_0107,False,0.21,False,semantic_error,False,False,True
dtest_case_0108,True,1.0,True,,False,False,False
dtest_case_0109,True,1.0,True,,False,False,False
dtest_case_0110,False,0.12,False,semantic_error,False,False,True
dtest_case_0111,True,1.0,True,,False,False,False
dtest_case_0112,False,0.18,False,execution_error,True,False,False
dtest_case_0113,False,0.26,False,execution_error,True,False,False
dtest_case_0114,False,0.27,False,schema_error,False,True,False
dtest_case_0115,False,0.07,False,execution_error,True,False,False
dtest_case_0116,False,0.28,False,schema_error,False,True,False
dtest_case_0117,True,1.0,True,,False,False,False
dtest_case_0118,False,0.24,False,syntax_error,True,False,False
dtest_case_0119,False,0.27,False,syntax_error,True,False,False
dtest_case_0120,False,0.05,False,semantic_error,False,False,True
dtest_case_0121,False,0.25,False,syntax_error,True,False,False
dtest_case_0122,False,0.28,False,syntax_error,True,False,False
dtest_case_0123,True,1.0,True,,False,False,False
dtest_case_0124,True,1.0,True,,False,False,False
dtest_case_0125,False,0.25,False,syntax_error,True,False,False
dtest_case_0126,False,0.26,False,semantic_error,False,False,True
dtest_case_0127,False,0.26,False,schema_error,False,True,False
dtest_case_0128,True,1.0,True,,False,False,False
dtest_case_0129,False,0.21,False,semantic_error,False,False,True
dtest_case_0130,False,0.01,False,semantic_error,False,False,True
dtest_case_0131,True,1.0,True,,False,False,False
dtest_case_0132,True,1.0,True,,False,False,False
dtest_case_0133,False,0.0,False,syntax_error,True,False,False
dtest_case_0134,False,0.15,False,semantic_error,False,False,True
dtest_case_0135,False,0.0,False,syntax_error,True,False,False
dtest_case_0136,False,0.03,False,schema_error,False,True,False
dtest_case_0137,False,0.15,False,syntax_error,True,False,False
dtest_case_0138,False,0.29,False,schema_error,False,True,False
dtest_case_0139,False,0.04,False,syntax_error,True,False,False
dtest_case_0140,False,0.06,False,syntax_error,True,False,False
dtest_case_0141,False,0.0,False,syntax_error,True,False,False
dtest_case_0142,False,0.05,False,syntax_error,True,False,False
dtest_case_0143,False,0.11,False,syntax_error,True,False,False
dtest_case_0144,False,0.09,False,schema_error,False,True,False
dtest_case_0145,True,1.0,True,,False,False,False
dtest_case_0146,False,0.22,False,schema_error,False,True,False
dtest_case_0147,False,0.29,False,syntax_error,True,False,False
dtest_case_0148,True,1.0,True,,False,False,False
dtest_case_0149,False,0.22,False,syntax_error,True,False,False
dtest_case_0150,False,0.26,False,semantic_error,False,False,True
dtest_case_0151,True,1.0,True,,False,False,False
dtest_case_0152,True,1.0,True,,False,False,False
dtest_case_0153,False,0.06,False,execution_error,True,False,False
dtest_case_0154,False,0.15,False,schema_error,False,True,False
dtest_case_0155,True,1.0,True,,False,False,False
dtest_case_0156,False,0.2,False,execution_error,True,False,False
dtest_case_0157,False,0.07,False,semantic_error,False,False,True
dtest_case_0158,True,1.0,True,,False,False,False
dtest_case_0159,False,0.09,False,schema_error,False,True,False
dtest_case_0160,False,0.29,False,schema_error,False,True,False
dtest_case_0161,False,0.29,False,syntax_error,True,False,False
dtest_case_0162,False,0.15,False,semantic_error,False,False,True
dtest_case_0163,False,0.23,False,execution_error,True,False,False
dtest_case_0164,True,1.0,True,,False,False,False
dtest_case_0165,False,0.03,False,syntax_error,True,False,False
dtest_case_0166,False,0.22,False,schema_error,False,True,False
dtest_case_0167,True,1.0,True,,False,False,False
dtest_case_0168,True,1.0,True,,False,False,False
dtest_case_0169,False,0.12,False,execution_error,True,False,False
dtest_case_0170,False,0.14,False,semantic_error,False,False,True
dtest_case_0171,True,1.0,True,,False,False,False
dtest_case_0172,False,0.1,False,semantic_error,False,False,True
dtest_case_0173,True,1.0,True,,False,False,False
dtest_case_0174,False,0.23,False,schema_error,False,True,False
dtest_case_0175,True,1.0,True,,False,False,False
dtest_case_0176,False,0.25,False,execution_error,True,False,False
dtest_case_0177,False,0.1,False,schema_error,False,True,False
dtest_case_0178,False,0.29,False,schema_error,False,True,False
dtest_case_0179,True,1.0,True,,False,False,False
dtest_case_0180,False,0.29,False,execution_error,True,False,False
dtest_case_0181,True,1.0,True,,False,False,False
dtest_case_0182,False,0.18,False,syntax_error,True,False,False
dtest_case_0183,False,0.07,False,syntax_error,True,False,False
dtest_case_0184,False,0.23,False,schema_error,False,True,False
dtest_case_0185,False,0.16,False,semantic_error,False,False,True
dtest_case_0186,False,0.0,False,syntax_error,True,False,False
dtest_case_0187,False,0.21,False,execution_error,True,False,False
dtest_case_0188,False,0.02,False,semantic_error,False,False,True
dtest_case_0189,True,1.0,True,,False,False,False
dtest_case_0190,True,1.0,True,,False,False,False
dtest_case_0191,False,0.11,False,semantic_error,False,False,True
dtest_case_0192,False,0.05,False,syntax_error,True,False,False
dtest_case_0193,False,0.18,False,syntax_error,True,False,False
dtest_case_0194,False,0.07,False,syntax_error,True,False,False
dtest_case_0195,False,0.07,False,execution_error,True,False,False
dtest_case_0196,False,0.18,False,schema_error,False,True,False
dtest_case_0197,False,0.18,False,semantic_error,False,False,True
dtest_case_0198,False,0.15,False,syntax_error,True,False,False
dtest_case_0199,False,0.13,False,execution_error,True,False,False
dtest_case_0200,False,0.28,False,syntax_error,True,False,False
dtest_case_0201,True,1.0,True,,False,False,False
dtest_case_0202,True,1.0,True,,False,False,False
dtest_case_0203,False,0.22,False,semantic_error,False,False,True
dtest_case_0204,False,0.0,False,semantic_error,False,False,True
dtest_case_0205,True,1.0,True,,False,False,False
dtest_case_0206,True,1.0,True,,False,False,False
dtest_case_0207,False,0.29,False,schema_error,False,True,False
dtest_case_0208,True,1.0,True,,False,False,False
dtest_case_0209,True,1.0,True,,False,False,False
dtest_case_0210,False,0.24,False,schema_error,False,True,False
dtest_case_0211,False,0.3,False,execution_error,True,False,False
dtest_case_0212,False,0.13,False,syntax_error,True,False,False
dtest_case_0213,True,1.0,True,,False,False,False
dtest_case_0214,False,0.05,False,semantic_error,False,False,True
dtest_case_0215,True,1.0,True,,False,False,False
dtest_case_0216,False,0.08,False,semantic_error,False,False,True
dtest_case_0217,False,0.1,False,schema_error,False,True,False
dtest_case_0218,False,0.0,False,syntax_error,True,False,False
dtest_case_0219,False,0.26,False,execution_error,True,False,False
dtest_case_0220,False,0.02,False,execution_error,True,False,False
dtest_case_0221,False,0.13,False,semantic_error,False,False,True
dtest_case_0222,True,1.0,True,,False,False,False
dtest_case_0223,False,0.08,False,execution_error,True,False,False
dtest_case_0224,False,0.22,False,semantic_error,False,False,True
dtest_case_0225,True,1.0,True,,False,False,False
dtest_case_0226,False,0.19,False,syntax_error,True,False,False
dtest_case_0227,False,0.05,False,schema_error,False,True,False
dtest_case_0228,False,0.21,False,syntax_error,True,False,False
dtest_case_0229,False,0.29,False,schema_error,False,True,False
dtest_case_0230,False,0.16,False,semantic_error,False,False,True
dtest_case_0231,False,0.13,False,syntax_error,True,False,False
dtest_case_0232,False,0.1,False,syntax_error,True,False,False
dtest_case_0233,False,0.24,False,schema_error,False,True,False
dtest_case_0234,True,1.0,True,,False,False,False
dtest_case_0235,False,0.04,False,schema_error,False,True,False
dtest_case_0236,False,0.28,False,syntax_error,True,False,False
dtest_case_0237,True,1.0,True,,False,False,False
dtest_case_0238,False,0.19,False,semantic_error,False,False,True
dtest_case_0239,True,1.0,True,,False,False,False
dtest_case_0240,False,0.16,False,syntax_error,True,False,False
dtest_case_0241,False,0.02,False,schema_error,False,True,False
dtest_case_0242,False,0.11,False,syntax_error,True,False,False
dtest_case_0243,False,0.07,False,execution_error,True,False,False
dtest_case_0244,True,1.0,True,,False,False,False
dtest_case_0245,False,0.24,False,syntax_error,True,False,False
dtest_case_0246,False,0.16,False,schema_error,False,True,False
dtest_case_0247,False,0.05,False,execution_error,True,False,False
dtest_case_0248,False,0.01,False,syntax_error,True,False,False
dtest_case_0249,False,0.27,False,semantic_error,False,False,True
dtest_case_0250,False,0.02,False,semantic_error,False,False,True
dtest_case_0251,False,0.2,False,schema_error,False,True,False
dtest_case_0252,False,0.25,False,syntax_error,True,False,False
dtest_case_0253,False,0.12,False,execution_error,True,False,False
dtest_case_0254,True,1.0,True,,False,False,False
dtest_case_0255,False,0.17,False,semantic_error,False,False,True
dtest_case_0256,False,0.22,False,execution_error,True,False,False
dtest_case_0257,False,0.23,False,schema_error,False,True,False
dtest_case_0258,False,0.24,False,execution_error,True,False,False
dtest_case_0259,True,1.0,True,,False,False,False
dtest_case_0260,False,0.07,False,syntax_error,True,False,False
dtest_case_0261,False,0.06,False,syntax_error,True,False,False
dtest_case_0262,True,1.0,True,,False,False,False
dtest_case_0263,False,0.28,False,syntax_error,True,False,False
dtest_case_0264,False,0.03,False,execution_error,True,False,False
dtest_case_0265,False,0.26,False,syntax_error,True,False,False
dtest_case_0266,False,0.06,False,semantic_error,False,False,True
dtest_case_0267,False,0.02,False,semantic_error,False,False,True
dtest_case_0268,False,0.04,False,execution_error,True,False,False
dtest_case_0269,False,0.29,False,schema_error,False,True,False
dtest_case_0270,False,0.03,False,schema_error,False,True,False
dtest_case_0271,False,0.04,False,semantic_error,False,False,True
dtest_case_0272,False,0.2,False,execution_error,True,False,False
dtest_case_0273,False,0.04,False,execution_error,True,False,False
dtest_case_0274,False,0.16,False,semantic_error,False,False,True
dtest_case_0275,False,0.2,False,syntax_error,True,False,False
dtest_case_0276,False,0.1,False,semantic_error,False,False,True
dtest_case_0277,False,0.24,False,semantic_error,False,False,True
dtest_case_0278,False,0.29,False,semantic_error,False,False,True
dtest_case_0279,False,0.02,False,execution_error,True,False,False
dtest_case_0280,False,0.2,False,execution_error,True,False,False
dtest_case_0281,False,0.29,False,syntax_error,True,False,False
dtest_case_0282,False,0.25,False,schema_error,False,True,False
dtest_case_0283,True,1.0,True,,False,False,False
dtest_case_0284,False,0.28,False,execution_error,True,False,False
dtest_case_0285,True,1.0,True,,False,False,False
dtest_case_0286,False,0.28,False,syntax_error,True,False,False
dtest_case_0287,False,0.26,False,syntax_error,True,False,False
dtest_case_0288,False,0.25,False,semantic_error,False,False,True
dtest_case_0289,False,0.23,False,syntax_error,True,False,False
dtest_case_0290,True,1.0,True,,False,False,False
dtest_case_0291,True,1.0,True,,False,False,False
dtest_case_0292,False,0.02,False,schema_error,False,True,False
dtest_case_0293,False,0.25,False,execution_error,True,False,False
dtest_case_0294,True,1.0,True,,False,False,False
dtest_case_0295,False,0.21,False,semantic_error,False,False,True
dtest_case_0296,False,0.14,False,semantic_error,False,False,True
dtest_case_0297,True,1.0,True,,False,False,False
dtest_case_0298,False,0.15,False,syntax_error,True,False,False
dtest_case_0299,True,1.0,True,,False,False,False
dtest_case_0300,True,1.0,True,,False,False,False
dtest_case_0301,False,0.17,False,schema_error,False,True,False
dtest_case_0302,False,0.25,False,syntax_error,True,False,False
dtest_case_0303,False,0.01,False,schema_error,False,True,False
dtest_case_0304,False,0.26,False,schema_error,False,True,False
dtest_case_0305,False,0.11,False,semantic_error,False,False,True
dtest_case_0306,False,0.25,False,syntax_error,True,False,False
dtest_case_0307,False,0.1,False,syntax_error,True,False,False
dtest_case_0308,False,0.27,False,semantic_error,False,False,True
dtest_case_0309,False,0.27,False,semantic_error,False,False,True
dtest_case_0310,False,0.25,False,syntax_error,True,False,False
dtest_case_0311,True,1.0,True,,False,False,False
dtest_case_0312,True,1.0,True,,False,False,False
dtest_case_0313,False,0.16,False,semantic_error,False,False,True
dtest_case_0314,False,0.15,False,semantic_error,False,False,True
dtest_case_0315,False,0.14,False,syntax_error,True,False,False
dtest_case_0316,False,0.19,False,schema_error,False,True,False
dtest_case_0317,True,1.0,True,,False,False,False
dtest_case_0318,True,1.0,True,,False,False,False
dtest_case_0319,False,0.27,False,schema_error,False,True,False
dtest_case_0320,False,0.06,False,syntax_error,True,False,False
dtest_case_0321,False,0.12,False,schema_error,False,True,False
dtest_case_0322,False,0.27,False,schema_error,False,True,False
dtest_case_0323,False,0.28,False,schema_error,False,True,False
dtest_case_0324,False,0.23,False,syntax_error,True,False,False
dtest_case_0325,False,0.0,False,schema_error,False,True,False
dtest_case_0326,False,0.01,False,syntax_error,True,False,False
dtest_case_0327,False,0.23,False,semantic_error,False,False,True
dtest_case_0328,False,0.0,False,semantic_error,False,False,True
dtest_case_0329,True,1.0,True,,False,False,False
dtest_case_0330,False,0.28,False,syntax_error,True,False,False
dtest_case_0331,False,0.26,False,syntax_error,True,False,False
dtest_case_0332,True,1.0,True,,False,False,False
dtest_case_0333,True,1.0,True,,False,False,False
dtest_case_0334,True,1.0,True,,False,False,False
dtest_case_0335,True,1.0,True,,False,False,False
dtest_case_0336,False,0.16,False,semantic_error,False,False,True
dtest_case_0337,False,0.04,False,semantic_error,False,False,True
dtest_case_0338,False,0.3,False,semantic_error,False,False,True
dtest_case_0339,True,1.0,True,,False,False,False
dtest_case_0340,False,0.14,False,semantic_error,False,False,True
dtest_case_0341,False,0.08,False,semantic_error,False,False,True
dtest_case_0342,True,1.0,True,,False,False,False
dtest_case_0343,False,0.22,False,semantic_error,False,False,True
dtest_case_0344,False,0.08,False,syntax_error,True,False,False
dtest_case_0345,False,0.22,False,syntax_error,True,False,False
dtest_case_0346,False,0.13,False,execution_error,True,False,False
dtest_case_0347,True,1.0,True,,False,False,False
dtest_case_0348,False,0.01,False,semantic_error,False,False,True
dtest_case_0349,False,0.12,False,syntax_error,True,False,False
dtest_case_0350,False,0.19,False,schema_error,False,True,False
dtest_case_0351,False,0.04,False,syntax_error,True,False,False
dtest_case_0352,False,0.11,False,execution_error,True,False,False
dtest_case_0353,True,1.0,True,,False,False,False
dtest_case_0354,True,1.0,True,,False,False,False
dtest_case_0355,False,0.03,False,semantic_error,False,False,True
dtest_case_0356,True,1.0,True,,False,False,False
dtest_case_0357,False,0.2,False,execution_error,True,False,False
dtest_case_0358,False,0.13,False,semantic_error,False,False,True
dtest_case_0359,False,0.06,False,syntax_error,True,False,False
dtest_case_0360,False,0.19,False,execution_error,True,False,False
dtest_case_0361,False,0.06,False,syntax_error,True,False,False
dtest_case_0362,False,0.18,False,semantic_error,False,False,True
dtest_case_0363,False,0.16,False,semantic_error,False,False,True
dtest_case_0364,False,0.26,False,execution_error,True,False,False
dtest_case_0365,False,0.21,False,schema_error,False,True,False
dtest_case_0366,False,0.08,False,semantic_error,False,False,True
dtest_case_0367,False,0.01,False,execution_error,True,False,False
dtest_case_0368,True,1.0,True,,False,False,False
