case_id,split,database_id,endpoint_correct,endpoint_error_type,cpfc_onset,cpfc_pattern_label,n_checkpoints,deep_nesting_flag,boundary_flag,unverifiable_flag,difficulty_tier,model_source,manifest_hash,simple_step_onset,simple_step_pattern,descriptive_error_label,selection_status,selection_reason,eligible_pair_A,eligible_pair_B,eligible_pair_C
case_032,dtest,store_1,False,execution_error,t0,local_verification_collapse,3,False,False,False,medium,cpfc_model,h000031,t0,dependency_mediated_propagation,execution_error_t0,candidate,eligible_but_not_selected,True,True,False
case_033,dtest,dog_kennels,False,execution_error,t0,unverifiable_or_excluded,4,False,False,False,hard,cpfc_model,h000032,t1,burst_associated_degradation,execution_error_t0,candidate,eligible_but_not_selected,True,True,False
case_034,dtest,concert_singer,False,execution_error,uncertain,dependency_mediated_propagation,5,False,False,False,medium,cpfc_model,h000033,uncertain,local_verification_collapse,execution_error_uncertain,selected,selected_for_pair_demonstration,True,False,False
case_035,dtest,world_1,False,none,uncertain,boundary_case,4,False,True,True,medium,cpfc_model,h000034,uncertain,dependency_mediated_propagation,none_uncertain,selected,selected_for_pair_demonstration,True,False,False
case_036,dtest,car_1,False,syntax_error,none,dependency_mediated_propagation,5,False,False,False,hard,cpfc_model,h000035,none,dependency_mediated_propagation,syntax_error_none,excluded,excluded_by_selection_rule,False,False,False
case_037,dtest,flight_2,True,none,t1,unverifiable_or_excluded,3,False,False,False,extra_hard,cpfc_model,h000036,t1,local_verification_collapse,none,candidate,eligible_but_not_selected,False,True,False
case_038,dtest,concert_singer,False,semantic_error,t0,dependency_mediated_propagation,5,True,False,False,easy,cpfc_model,h000037,t1,dependency_mediated_propagation,semantic_error_t0,candidate,eligible_but_not_selected,True,True,True
case_039,dtest,soccer_1,True,semantic_error,t2,local_verification_collapse,4,False,False,False,hard,cpfc_model,h000038,t1,burst_associated_degradation,none,candidate,eligible_but_not_selected,False,True,False
case_040,dtest,store_1,False,other,t1,unverifiable_or_excluded,5,False,False,False,hard,cpfc_model,h000039,t0,burst_associated_degradation,other_t1,selected,selected_for_pair_demonstration,True,True,False
case_041,dtest,course_teach,False,syntax_error,t0,local_verification_collapse,5,False,False,False,easy,cpfc_model,h000040,t0,local_verification_collapse,syntax_error_t0,candidate,eligible_but_not_selected,True,True,False
case_042,dtest,customer_complaints,False,execution_error,t1,dependency_mediated_propagation,3,False,False,False,medium,cpfc_model,h000041,t2,local_verification_collapse,execution_error_t1,candidate,eligible_but_not_selected,True,True,False
case_043,dtest,world_1,False,execution_error,t0,unverifiable_or_excluded,3,True,False,False,medium,cpfc_model,h000042,t0,burst_associated_degradation,execution_error_t0,selected,selected_for_pair_demonstration,True,True,True
case_044,dtest,car_1,True,semantic_error,uncertain,unverifiable_or_excluded,3,False,False,False,easy,cpfc_model,h000043,uncertain,dependency_mediated_propagation,none,selected,selected_for_pair_demonstration,False,False,False
case_045,dtest,customer_complaints,True,semantic_error,t0,burst_associated_degradation,4,False,False,False,medium,cpfc_model,h000044,t0,burst_associated_degradation,none,candidate,eligible_but_not_selected,False,True,False
case_046,dtest,concert_singer,False,semantic_error,t2,burst_associated_degradation,4,False,False,False,medium,cpfc_model,h000045,t2,local_verification_collapse,semantic_error_t2,selected,selected_for_pair_demonstration,True,True,False
case_047,dtest,store_1,True,other,t1,dependency_mediated_propagation,5,False,False,False,medium,cpfc_model,h000046,t1,dependency_mediated_propagation,none,selected,selected_for_pair_demonstration,False,True,False
case_048,dtest,store_1,True,execution_error,t1,local_verification_collapse,4,False,False,False,hard,cpfc_model,h000047,t1,dependency_mediated_propagation,none,candidate,eligible_but_not_selected,False,True,False
case_049,dtest,soccer_1,False,semantic_error,t1,dependency_mediated_propagation,4,True,False,False,hard,cpfc_model,h000048,t2,burst_associated_degradation,semantic_error_t1,candidate,eligible_but_not_selected,True,True,True
case_050,dtest,employee_hire_evaluation,False,execution_error,t0,burst_associated_degradation,3,False,False,False,extra_hard,cpfc_model,h000049,t2,dependency_mediated_propagation,execution_error_t0,candidate,eligible_but_not_selected,True,True,False
case_051,dtest,soccer_1,False,none,uncertain,boundary_case,3,True,False,False,medium,cpfc_model,h000050,uncertain,dependency_mediated_propagation,none_uncertain,selected,selected_for_pair_demonstration,True,False,True
case_052,dtest,employee_hire_evaluation,True,syntax_error,none,boundary_case,6,True,False,False,hard,cpfc_model,h000051,none,dependency_mediated_propagation,none,candidate,eligible_but_not_selected,False,False,True
case_053,dtest,employee_hire_evaluation,False,execution_error,uncertain,boundary_case,3,False,False,False,extra_hard,cpfc_model,h000052,uncertain,boundary_case,execution_error_uncertain,candidate,eligible_but_not_selected,True,False,False
case_054,dtest,world_1,False,execution_error,none,local_verification_collapse,5,False,False,False,hard,cpfc_model,h000053,none,local_verification_collapse,execution_error_none,excluded,excluded_by_selection_rule,False,False,False
case_055,dtest,soccer_1,False,other,t2,dependency_mediated_propagation,5,False,True,False,medium,cpfc_model,h000054,t0,local_verification_collapse,other_t2,candidate,eligible_but_not_selected,True,True,False
case_056,dtest,cre_Doc_Template_Mgt,False,semantic_error,uncertain,local_verification_collapse,5,False,True,False,hard,cpfc_model,h000055,uncertain,local_verification_collapse,semantic_error_uncertain,selected,selected_for_pair_demonstration,True,False,False
case_057,dtest,course_teach,False,semantic_error,t0,dependency_mediated_propagation,6,False,False,False,medium,cpfc_model,h000056,t2,dependency_mediated_propagation,semantic_error_t0,selected,selected_for_pair_demonstration,True,True,False
case_058,dtest,car_1,False,semantic_error,t0,dependency_mediated_propagation,4,False,False,False,medium,cpfc_model,h000057,t1,dependency_mediated_propagation,semantic_error_t0,selected,selected_for_pair_demonstration,True,True,False
case_059,dtest,hospital,False,timeout,t0,unverifiable_or_excluded,6,False,False,False,hard,cpfc_model,h000058,t0,burst_associated_degradation,timeout_t0,candidate,eligible_but_not_selected,True,True,False
case_060,dtest,hospital,False,semantic_error,t1,dependency_mediated_propagation,3,True,False,False,hard,cpfc_model,h000059,t1,dependency_mediated_propagation,semantic_error_t1,candidate,eligible_but_not_selected,True,True,True
case_061,dtest,soccer_1,False,execution_error,t1,local_verification_collapse,3,False,False,False,easy,cpfc_model,h000060,t2,local_verification_collapse,execution_error_t1,selected,selected_for_pair_demonstration,True,True,False
case_062,dtest,soccer_1,False,none,t0,local_verification_collapse,5,False,True,True,extra_hard,cpfc_model,h000061,t0,local_verification_collapse,none_t0,candidate,eligible_but_not_selected,True,True,False
case_063,dtest,customer_complaints,False,none,none,boundary_case,6,False,False,False,hard,cpfc_model,h000062,none,dependency_mediated_propagation,none_none,excluded,excluded_by_selection_rule,False,False,False
case_064,dtest,car_1,False,execution_error,t1,burst_associated_degradation,5,False,False,False,medium,cpfc_model,h000063,t0,burst_associated_degradation,execution_error_t1,selected,selected_for_pair_demonstration,True,True,False
case_065,dtest,car_1,False,other,t0,local_verification_collapse,3,False,False,False,extra_hard,cpfc_model,h000064,t2,dependency_mediated_propagation,other_t0,candidate,eligible_but_not_selected,True,True,False
case_066,dtest,world_1,False,execution_error,t1,local_verification_collapse,4,False,False,False,medium,cpfc_model,h000065,t1,dependency_mediated_propagation,execution_error_t1,candidate,eligible_but_not_selected,True,True,False
case_067,dtest,soccer_1,False,execution_error,t0,boundary_case,6,False,False,False,extra_hard,cpfc_model,h000066,t0,local_verification_collapse,execution_error_t0,selected,selected_for_pair_demonstration,True,True,False
case_068,dtest,car_1,False,syntax_error,none,local_verification_collapse,4,False,True,True,hard,cpfc_model,h000067,none,burst_associated_degradation,syntax_error_none,excluded,excluded_by_selection_rule,False,False,False
case_069,dtest,customer_complaints,False,other,t0,boundary_case,5,False,False,False,easy,cpfc_model,h000068,t0,boundary_case,other_t0,candidate,eligible_but_not_selected,True,True,False
case_070,dtest,employee_hire_evaluation,False,syntax_error,uncertain,boundary_case,5,False,False,True,hard,cpfc_model,h000069,uncertain,dependency_mediated_propagation,syntax_error_uncertain,candidate,eligible_but_not_selected,True,False,False
case_071,dtest,store_1,False,semantic_error,none,local_verification_collapse,4,True,False,False,hard,cpfc_model,h000070,none,local_verification_collapse,semantic_error_none,candidate,eligible_but_not_selected,False,False,True
case_072,dtest,store_1,False,syntax_error,t0,local_verification_collapse,4,True,False,False,hard,cpfc_model,h000071,t2,local_verification_collapse,syntax_error_t0,candidate,eligible_but_not_selected,True,True,True
case_073,dtest,employee_hire_evaluation,False,timeout,t0,unverifiable_or_excluded,4,False,False,False,extra_hard,cpfc_model,h000072,t0,unverifiable_or_excluded,timeout_t0,selected,selected_for_pair_demonstration,True,True,False
case_074,dtest,flight_2,False,semantic_error,none,dependency_mediated_propagation,3,False,False,False,hard,cpfc_model,h000073,none,dependency_mediated_propagation,semantic_error_none,selected,selected_for_pair_demonstration,False,False,False
case_075,dtest,customer_complaints,True,semantic_error,t2,dependency_mediated_propagation,6,False,False,False,hard,cpfc_model,h000074,t1,burst_associated_degradation,none,candidate,eligible_but_not_selected,False,True,False
case_076,dtest,car_1,True,syntax_error,t2,boundary_case,4,False,False,False,extra_hard,cpfc_model,h000075,t2,local_verification_collapse,none,selected,selected_for_pair_demonstration,False,True,False
case_077,dtest,cre_Doc_Template_Mgt,False,syntax_error,none,unverifiable_or_excluded,6,False,False,True,hard,cpfc_model,h000076,none,unverifiable_or_excluded,syntax_error_none,selected,selected_for_pair_demonstration,False,False,False
case_078,dtest,customer_complaints,False,execution_error,t0,unverifiable_or_excluded,3,False,False,False,medium,cpfc_model,h000077,t0,unverifiable_or_excluded,execution_error_t0,selected,selected_for_pair_demonstration,True,True,False
case_079,dtest,employee_hire_evaluation,True,none,t1,boundary_case,6,False,False,False,extra_hard,cpfc_model,h000078,t1,boundary_case,none,selected,selected_for_pair_demonstration,False,True,False
case_080,dtest,course_teach,True,semantic_error,t0,dependency_mediated_propagation,4,False,False,False,medium,cpfc_model,h000079,t0,dependency_mediated_propagation,none,candidate,eligible_but_not_selected,False,True,False
case_081,dtest,dog_kennels,True,execution_error,none,local_verification_collapse,3,False,True,False,hard,cpfc_model,h000080,none,burst_associated_degradation,none,excluded,excluded_by_selection_rule,False,False,False
case_082,dtest,concert_singer,True,none,t2,boundary_case,3,False,True,False,extra_hard,cpfc_model,h000081,t1,dependency_mediated_propagation,none,candidate,eligible_but_not_selected,False,True,False
case_083,dtest,employee_hire_evaluation,True,syntax_error,t1,burst_associated_degradation,5,False,True,False,hard,cpfc_model,h000082,t1,burst_associated_degradation,none,selected,selected_for_pair_demonstration,False,True,False
case_084,dtest,cre_Doc_Template_Mgt,False,semantic_error,t0,dependency_mediated_propagation,5,False,False,True,hard,cpfc_model,h000083,t1,local_verification_collapse,semantic_error_t0,candidate,eligible_but_not_selected,True,True,False
case_085,dtest,car_1,False,other,t1,unverifiable_or_excluded,5,True,False,False,hard,cpfc_model,h000084,t0,dependency_mediated_propagation,other_t1,selected,selected_for_pair_demonstration,True,True,True
case_086,dtest,cre_Doc_Template_Mgt,True,execution_error,t1,local_verification_collapse,3,False,True,False,medium,cpfc_model,h000085,t0,burst_associated_degradation,none,candidate,eligible_but_not_selected,False,True,False
case_087,dtest,cre_Doc_Template_Mgt,False,semantic_error,t2,dependency_mediated_propagation,3,True,True,False,extra_hard,cpfc_model,h000086,t0,dependency_mediated_propagation,semantic_error_t2,candidate,eligible_but_not_selected,True,True,True
case_088,dtest,soccer_1,True,execution_error,t2,local_verification_collapse,4,False,False,False,medium,cpfc_model,h000087,t2,local_verification_collapse,none,candidate,eligible_but_not_selected,False,True,False
case_089,dtest,soccer_1,True,semantic_error,none,dependency_mediated_propagation,4,True,False,True,easy,cpfc_model,h000088,none,burst_associated_degradation,none,candidate,eligible_but_not_selected,False,False,True
case_090,dtest,world_1,False,execution_error,t1,local_verification_collapse,4,False,False,False,medium,cpfc_model,h000089,t1,dependency_mediated_propagation,execution_error_t1,candidate,eligible_but_not_selected,True,True,False
case_091,dtest,employee_hire_evaluation,False,syntax_error,t0,local_verification_collapse,6,False,False,False,hard,cpfc_model,h000090,t1,local_verification_collapse,syntax_error_t0,selected,selected_for_pair_demonstration,True,True,False
case_092,dtest,world_1,True,syntax_error,t2,local_verification_collapse,6,False,False,True,hard,cpfc_model,h000091,t0,local_verification_collapse,none,candidate,eligible_but_not_selected,False,True,False
case_093,dtest,employee_hire_evaluation,False,syntax_error,none,burst_associated_degradation,6,False,True,False,extra_hard,cpfc_model,h000092,none,local_verification_collapse,syntax_error_none,excluded,excluded_by_selection_rule,False,False,False
case_094,dtest,customer_complaints,True,other,t2,boundary_case,5,True,False,False,medium,cpfc_model,h000093,t2,boundary_case,none,selected,selected_for_pair_demonstration,False,True,True
case_095,dtest,concert_singer,False,none,none,burst_associated_degradation,4,True,False,False,medium,cpfc_model,h000094,none,dependency_mediated_propagation,none_none,selected,selected_for_pair_demonstration,False,False,True
case_096,dtest,cre_Doc_Template_Mgt,False,semantic_error,t1,unverifiable_or_excluded,4,False,False,False,easy,cpfc_model,h000095,t1,local_verification_collapse,semantic_error_t1,candidate,eligible_but_not_selected,True,True,False
case_097,dtest,customer_complaints,False,semantic_error,t1,dependency_mediated_propagation,4,False,False,False,medium,cpfc_model,h000096,t2,dependency_mediated_propagation,semantic_error_t1,candidate,eligible_but_not_selected,True,True,False
case_098,dtest,dog_kennels,True,none,t1,local_verification_collapse,5,False,True,False,hard,cpfc_model,h000097,t1,burst_associated_degradation,none,candidate,eligible_but_not_selected,False,True,False
case_099,dtest,store_1,False,semantic_error,t0,unverifiable_or_excluded,3,False,False,False,easy,cpfc_model,h000098,t2,local_verification_collapse,semantic_error_t0,candidate,eligible_but_not_selected,True,True,False
case_100,dtest,hospital,True,semantic_error,t0,local_verification_collapse,4,True,False,False,medium,cpfc_model,h000099,t2,local_verification_collapse,none,candidate,eligible_but_not_selected,False,True,True
case_101,dtest,employee_hire_evaluation,True,other,t0,unverifiable_or_excluded,3,False,False,False,medium,cpfc_model,h000100,t0,dependency_mediated_propagation,none,candidate,eligible_but_not_selected,False,True,False
case_102,dtest,dog_kennels,False,semantic_error,t2,local_verification_collapse,4,False,False,False,easy,cpfc_model,h000101,t2,local_verification_collapse,semantic_error_t2,selected,selected_for_pair_demonstration,True,True,False
case_103,dtest,store_1,True,none,t1,unverifiable_or_excluded,6,False,False,False,medium,cpfc_model,h000102,t1,local_verification_collapse,none,candidate,eligible_but_not_selected,False,True,False
case_104,dtest,car_1,False,other,t1,local_verification_collapse,5,False,True,False,easy,cpfc_model,h000103,t0,local_verification_collapse,other_t1,candidate,eligible_but_not_selected,True,True,False
case_105,dtest,flight_2,False,semantic_error,uncertain,unverifiable_or_excluded,3,False,True,False,hard,cpfc_model,h000104,uncertain,unverifiable_or_excluded,semantic_error_uncertain,candidate,eligible_but_not_selected,True,False,False
case_106,dtest,concert_singer,True,syntax_error,t0,dependency_mediated_propagation,6,False,False,False,extra_hard,cpfc_model,h000105,t0,local_verification_collapse,none,candidate,eligible_but_not_selected,False,True,False
case_107,dtest,world_1,False,semantic_error,t1,unverifiable_or_excluded,5,True,False,False,hard,cpfc_model,h000106,t2,dependency_mediated_propagation,semantic_error_t1,candidate,eligible_but_not_selected,True,True,True
case_108,dtest,world_1,False,none,none,local_verification_collapse,3,False,True,False,extra_hard,cpfc_model,h000107,none,local_verification_collapse,none_none,excluded,excluded_by_selection_rule,False,False,False
case_109,dtest,customer_complaints,False,other,t0,burst_associated_degradation,4,False,False,False,medium,cpfc_model,h000108,t0,burst_associated_degradation,other_t0,selected,selected_for_pair_demonstration,True,True,False
case_110,dtest,soccer_1,False,none,t0,unverifiable_or_excluded,4,False,False,False,hard,cpfc_model,h000109,t0,unverifiable_or_excluded,none_t0,selected,selected_for_pair_demonstration,True,True,False
case_111,dtest,store_1,False,syntax_error,t0,dependency_mediated_propagation,3,True,False,False,extra_hard,cpfc_model,h000110,t2,dependency_mediated_propagation,syntax_error_t0,selected,selected_for_pair_demonstration,True,True,True
case_112,dtest,flight_2,False,none,t0,burst_associated_degradation,6,False,True,False,medium,cpfc_model,h000111,t1,burst_associated_degradation,none_t0,candidate,eligible_but_not_selected,True,True,False
case_113,dtest,dog_kennels,False,other,uncertain,burst_associated_degradation,4,False,False,False,extra_hard,cpfc_model,h000112,uncertain,burst_associated_degradation,other_uncertain,candidate,eligible_but_not_selected,True,False,False
case_114,dtest,concert_singer,True,timeout,none,dependency_mediated_propagation,6,False,False,False,easy,cpfc_model,h000113,none,dependency_mediated_propagation,none,selected,selected_for_pair_demonstration,False,False,False
case_115,dtest,store_1,False,other,t2,burst_associated_degradation,4,False,False,True,medium,cpfc_model,h000114,t2,burst_associated_degradation,other_t2,selected,selected_for_pair_demonstration,True,True,False
case_116,dtest,flight_2,False,none,none,burst_associated_degradation,3,False,False,False,easy,cpfc_model,h000115,none,burst_associated_degradation,none_none,excluded,excluded_by_selection_rule,False,False,False
case_117,dtest,hospital,True,none,none,unverifiable_or_excluded,4,True,False,False,hard,cpfc_model,h000116,none,unverifiable_or_excluded,none,selected,selected_for_pair_demonstration,False,False,True
case_118,dtest,employee_hire_evaluation,False,execution_error,t0,local_verification_collapse,3,False,False,False,hard,cpfc_model,h000117,t1,dependency_mediated_propagation,execution_error_t0,candidate,eligible_but_not_selected,True,True,False
case_119,dtest,world_1,True,semantic_error,none,local_verification_collapse,4,False,False,False,hard,cpfc_model,h000118,none,burst_associated_degradation,none,excluded,excluded_by_selection_rule,False,False,False
case_120,dtest,dog_kennels,True,semantic_error,t1,unverifiable_or_excluded,6,False,False,False,medium,cpfc_model,h000119,t1,burst_associated_degradation,none,selected,selected_for_pair_demonstration,False,True,False
case_121,dtest,world_1,False,timeout,none,unverifiable_or_excluded,4,True,True,False,medium,cpfc_model,h000120,none,local_verification_collapse,timeout_none,candidate,eligible_but_not_selected,False,False,True
case_122,dtest,dog_kennels,True,semantic_error,none,dependency_mediated_propagation,5,False,False,False,easy,cpfc_model,h000121,none,dependency_mediated_propagation,none,excluded,excluded_by_selection_rule,False,False,False
case_123,dtest,customer_complaints,False,other,t1,burst_associated_degradation,3,True,False,False,medium,cpfc_model,h000122,t0,local_verification_collapse,other_t1,candidate,eligible_but_not_selected,True,True,True
case_124,dtest,soccer_1,False,other,t0,local_verification_collapse,3,False,False,False,extra_hard,cpfc_model,h000123,t0,local_verification_collapse,other_t0,candidate,eligible_but_not_selected,True,True,False
case_125,dtest,dog_kennels,False,none,t0,local_verification_collapse,3,True,False,False,medium,cpfc_model,h000124,t1,burst_associated_degradation,none_t0,selected,selected_for_pair_demonstration,True,True,True
case_126,dtest,world_1,False,syntax_error,t1,dependency_mediated_propagation,4,False,True,False,extra_hard,cpfc_model,h000125,t0,dependency_mediated_propagation,syntax_error_t1,candidate,eligible_but_not_selected,True,True,False
case_127,dtest,customer_complaints,True,semantic_error,none,dependency_mediated_propagation,3,False,False,False,extra_hard,cpfc_model,h000126,none,dependency_mediated_propagation,none,selected,selected_for_pair_demonstration,False,False,False
case_128,dtest,dog_kennels,False,syntax_error,none,burst_associated_degradation,4,False,False,False,medium,cpfc_model,h000127,none,burst_associated_degradation,syntax_error_none,excluded,excluded_by_selection_rule,False,False,False
case_129,dtest,hospital,False,none,t0,local_verification_collapse,4,False,False,False,hard,cpfc_model,h000128,t0,local_verification_collapse,none_t0,candidate,eligible_but_not_selected,True,True,False
case_130,dtest,soccer_1,False,none,t1,unverifiable_or_excluded,4,False,False,False,easy,cpfc_model,h000129,t1,burst_associated_degradation,none_t1,candidate,eligible_but_not_selected,True,True,False
case_131,dtest,dog_kennels,True,other,t1,unverifiable_or_excluded,3,False,False,False,easy,cpfc_model,h000130,t1,dependency_mediated_propagation,none,candidate,eligible_but_not_selected,False,True,False
case_132,dtest,customer_complaints,False,execution_error,t0,burst_associated_degradation,4,False,False,False,easy,cpfc_model,h000131,t0,burst_associated_degradation,execution_error_t0,candidate,eligible_but_not_selected,True,True,False
case_133,dtest,car_1,False,other,t0,dependency_mediated_propagation,6,False,False,True,hard,cpfc_model,h000132,t0,dependency_mediated_propagation,other_t0,selected,selected_for_pair_demonstration,True,True,False
case_134,dtest,store_1,False,other,t1,dependency_mediated_propagation,5,False,False,False,medium,cpfc_model,h000133,t1,dependency_mediated_propagation,other_t1,candidate,eligible_but_not_selected,True,True,False
case_135,dtest,course_teach,False,semantic_error,uncertain,boundary_case,4,False,False,False,hard,cpfc_model,h000134,uncertain,local_verification_collapse,semantic_error_uncertain,candidate,eligible_but_not_selected,True,False,False
case_136,dtest,flight_2,False,other,t1,burst_associated_degradation,3,False,False,False,hard,cpfc_model,h000135,t2,local_verification_collapse,other_t1,candidate,eligible_but_not_selected,True,True,False
case_137,dtest,course_teach,False,semantic_error,t1,local_verification_collapse,6,False,False,False,medium,cpfc_model,h000136,t1,burst_associated_degradation,semantic_error_t1,candidate,eligible_but_not_selected,True,True,False
case_138,dtest,car_1,False,semantic_error,t2,unverifiable_or_excluded,5,False,False,False,hard,cpfc_model,h000137,t2,dependency_mediated_propagation,semantic_error_t2,selected,selected_for_pair_demonstration,True,True,False
case_139,dtest,course_teach,True,timeout,t1,boundary_case,4,True,False,True,hard,cpfc_model,h000138,t1,dependency_mediated_propagation,none,candidate,eligible_but_not_selected,False,True,True
case_140,dtest,car_1,False,semantic_error,uncertain,unverifiable_or_excluded,6,True,False,True,easy,cpfc_model,h000139,uncertain,unverifiable_or_excluded,semantic_error_uncertain,candidate,eligible_but_not_selected,True,False,True
case_141,dtest,concert_singer,False,timeout,uncertain,boundary_case,4,False,False,False,medium,cpfc_model,h000140,uncertain,local_verification_collapse,timeout_uncertain,candidate,eligible_but_not_selected,True,False,False
