annotation_case_id,case_id_hidden_hash,split,sampling_stratum,difficulty_tier,spider_question_text,database_id,spider_db_schema_path,spider_db_schema_hash,foreign_key_context_path,num_checkpoints,checkpoint_material_path,endpoint_material_path,boundary_flag_visible,unverifiable_flag_visible,deep_nesting_flag_visible,ground_truth_sql_hidden_flag,cpfc_labels_hidden,model_source_hidden_flag
annot_018,hash_218834,dtest,uncertain,hard,"What employees have number in (active, standard)?",cre_Doc_Template_Mgt,spider_database_schema_files/cre_Doc_Template_Mgt_schema.sql,sha256:69668e9fe45edccd,spider_database_schema_files/cre_Doc_Template_Mgt_fk.json,5,checkpoint_materials/annot_018_checkpoints.json,endpoint_materials/annot_018_endpoint.json,True,False,False,True,True,True
annot_019,hash_193848,dtest,onset_t0,medium,"What products have salary in (active, false)?",course_teach,spider_database_schema_files/course_teach_schema.sql,sha256:2b82a788aeffc902,spider_database_schema_files/course_teach_fk.json,6,checkpoint_materials/annot_019_checkpoints.json,endpoint_materials/annot_019_endpoint.json,False,False,False,True,True,True
annot_020,hash_152921,dtest,onset_t0,medium,How many kennels are there?,car_1,spider_database_schema_files/car_1_schema.sql,sha256:453991f515e135d3,spider_database_schema_files/car_1_fk.json,4,checkpoint_materials/annot_020_checkpoints.json,endpoint_materials/annot_020_endpoint.json,False,False,False,True,True,True
annot_021,hash_805086,dtest,onset_t1,easy,Find complaints where type is between 4 and 126.,soccer_1,spider_database_schema_files/soccer_1_schema.sql,sha256:135b55e2d94f8a2a,spider_database_schema_files/soccer_1_fk.json,3,checkpoint_materials/annot_021_checkpoints.json,endpoint_materials/annot_021_endpoint.json,False,False,False,True,True,True
annot_022,hash_750429,dtest,onset_t1,medium,Find manufacturers where age is between 88 and 226.,car_1,spider_database_schema_files/car_1_schema.sql,sha256:ed659667c6fbc9e8,spider_database_schema_files/car_1_fk.json,5,checkpoint_materials/annot_022_checkpoints.json,endpoint_materials/annot_022_endpoint.json,False,False,False,True,True,True
annot_023,hash_805660,dtest,onset_t0,extra_hard,Which hospitals do not have a budget?,soccer_1,spider_database_schema_files/soccer_1_schema.sql,sha256:2b317b46e01afab9,spider_database_schema_files/soccer_1_fk.json,6,checkpoint_materials/annot_023_checkpoints.json,endpoint_materials/annot_023_endpoint.json,False,False,False,True,True,True
annot_024,hash_384821,dtest,onset_t0,extra_hard,What is the average count of complaints?,employee_hire_evaluation,spider_database_schema_files/employee_hire_evaluation_schema.sql,sha256:8a4e382f44a6ab2c,spider_database_schema_files/employee_hire_evaluation_fk.json,4,checkpoint_materials/annot_024_checkpoints.json,endpoint_materials/annot_024_endpoint.json,False,False,False,True,True,True
annot_025,hash_155609,dtest,onset_none,hard,Which cars has the highest budget?,flight_2,spider_database_schema_files/flight_2_schema.sql,sha256:8ae90f5ae8efce0e,spider_database_schema_files/flight_2_fk.json,3,checkpoint_materials/annot_025_checkpoints.json,endpoint_materials/annot_025_endpoint.json,False,False,False,True,True,True
annot_026,hash_327897,dtest,onset_t2,extra_hard,"What doctors have rating in (active, standard)?",car_1,spider_database_schema_files/car_1_schema.sql,sha256:ee33cae727ac66d7,spider_database_schema_files/car_1_fk.json,4,checkpoint_materials/annot_026_checkpoints.json,endpoint_materials/annot_026_endpoint.json,False,False,False,True,True,True
annot_027,hash_131024,dtest,unverifiable,hard,How many countries have salary equal to active?,cre_Doc_Template_Mgt,spider_database_schema_files/cre_Doc_Template_Mgt_schema.sql,sha256:aa19b581033bffc4,spider_database_schema_files/cre_Doc_Template_Mgt_fk.json,6,checkpoint_materials/annot_027_checkpoints.json,endpoint_materials/annot_027_endpoint.json,False,True,False,True,True,True
annot_028,hash_170313,dtest,onset_t0,medium,Find concerts where type is between 38 and 207.,customer_complaints,spider_database_schema_files/customer_complaints_schema.sql,sha256:b5af5e7742a98808,spider_database_schema_files/customer_complaints_fk.json,3,checkpoint_materials/annot_028_checkpoints.json,endpoint_materials/annot_028_endpoint.json,False,False,False,True,True,True
annot_029,hash_489957,dtest,onset_t1,extra_hard,Find all courses joined with complaints on salary.,employee_hire_evaluation,spider_database_schema_files/employee_hire_evaluation_schema.sql,sha256:ee7b4c0f95bfbbb7,spider_database_schema_files/employee_hire_evaluation_fk.json,6,checkpoint_materials/annot_029_checkpoints.json,endpoint_materials/annot_029_endpoint.json,False,False,False,True,True,True
annot_030,hash_284078,dtest,onset_t1,hard,Count the number of teachers per status.,employee_hire_evaluation,spider_database_schema_files/employee_hire_evaluation_schema.sql,sha256:84c8bd2fa185703c,spider_database_schema_files/employee_hire_evaluation_fk.json,5,checkpoint_materials/annot_030_checkpoints.json,endpoint_materials/annot_030_endpoint.json,True,False,False,True,True,True
annot_031,hash_457429,dtest,onset_t1,hard,Show the count and salary of all dogs.,car_1,spider_database_schema_files/car_1_schema.sql,sha256:ae6d31a3a5d1ebfe,spider_database_schema_files/car_1_fk.json,5,checkpoint_materials/annot_031_checkpoints.json,endpoint_materials/annot_031_endpoint.json,False,False,True,True,True,True
annot_032,hash_561243,dtest,onset_t0,hard,List complaints ordered by date descending.,employee_hire_evaluation,spider_database_schema_files/employee_hire_evaluation_schema.sql,sha256:b674494c8200984f,spider_database_schema_files/employee_hire_evaluation_fk.json,6,checkpoint_materials/annot_032_checkpoints.json,endpoint_materials/annot_032_endpoint.json,False,False,False,True,True,True
annot_033,hash_213632,dtest,onset_t2,medium,Show the size and salary of all hospitals.,customer_complaints,spider_database_schema_files/customer_complaints_schema.sql,sha256:91d1d12c9c469b63,spider_database_schema_files/customer_complaints_fk.json,5,checkpoint_materials/annot_033_checkpoints.json,endpoint_materials/annot_033_endpoint.json,False,False,True,True,True,True
annot_034,hash_351451,dtest,onset_none,medium,How many orders are there?,concert_singer,spider_database_schema_files/concert_singer_schema.sql,sha256:cceeb536fefae253,spider_database_schema_files/concert_singer_fk.json,4,checkpoint_materials/annot_034_checkpoints.json,endpoint_materials/annot_034_endpoint.json,False,False,True,True,True,True
annot_035,hash_103051,dtest,onset_t2,easy,Find departments where price is between 38 and 71.,dog_kennels,spider_database_schema_files/dog_kennels_schema.sql,sha256:7ba736423282f817,spider_database_schema_files/dog_kennels_fk.json,4,checkpoint_materials/annot_035_checkpoints.json,endpoint_materials/annot_035_endpoint.json,False,False,False,True,True,True
annot_036,hash_804107,dtest,onset_t0,medium,Find the status of singers that status is premium.,customer_complaints,spider_database_schema_files/customer_complaints_schema.sql,sha256:4896a3da1ac6d888,spider_database_schema_files/customer_complaints_fk.json,4,checkpoint_materials/annot_036_checkpoints.json,endpoint_materials/annot_036_endpoint.json,False,False,False,True,True,True
annot_037,hash_476836,dtest,onset_t0,hard,What is the total year for each matches?,soccer_1,spider_database_schema_files/soccer_1_schema.sql,sha256:1f735071b63741c0,spider_database_schema_files/soccer_1_fk.json,4,checkpoint_materials/annot_037_checkpoints.json,endpoint_materials/annot_037_endpoint.json,False,False,False,True,True,True
annot_038,hash_711523,dtest,onset_t0,extra_hard,What is the total year for each concerts?,store_1,spider_database_schema_files/store_1_schema.sql,sha256:c8074856b3fcc892,spider_database_schema_files/store_1_fk.json,3,checkpoint_materials/annot_038_checkpoints.json,endpoint_materials/annot_038_endpoint.json,False,False,True,True,True,True
annot_039,hash_821772,dtest,onset_none,easy,Find the number of dogs that number is A.,concert_singer,spider_database_schema_files/concert_singer_schema.sql,sha256:0e5302a0f3752a6d,spider_database_schema_files/concert_singer_fk.json,6,checkpoint_materials/annot_039_checkpoints.json,endpoint_materials/annot_039_endpoint.json,False,False,False,True,True,True
annot_040,hash_289407,dtest,onset_t2,medium,Count the number of customers per country.,store_1,spider_database_schema_files/store_1_schema.sql,sha256:2d3c26b8d8fb811a,spider_database_schema_files/store_1_fk.json,4,checkpoint_materials/annot_040_checkpoints.json,endpoint_materials/annot_040_endpoint.json,False,True,False,True,True,True
annot_041,hash_549395,dtest,onset_none,hard,Show the matches grouped by category having count greater than 71.,hospital,spider_database_schema_files/hospital_schema.sql,sha256:5c32efd39b4146fe,spider_database_schema_files/hospital_fk.json,4,checkpoint_materials/annot_041_checkpoints.json,endpoint_materials/annot_041_endpoint.json,False,False,True,True,True,True
annot_042,hash_562894,dtest,onset_t1,medium,What is the average price of singers?,dog_kennels,spider_database_schema_files/dog_kennels_schema.sql,sha256:2aefeff09d747778,spider_database_schema_files/dog_kennels_fk.json,6,checkpoint_materials/annot_042_checkpoints.json,endpoint_materials/annot_042_endpoint.json,False,False,False,True,True,True
annot_043,hash_311810,dtest,onset_t0,medium,What is the minimum year among courses with year is active?,dog_kennels,spider_database_schema_files/dog_kennels_schema.sql,sha256:1020cc81ed18fbd5,spider_database_schema_files/dog_kennels_fk.json,3,checkpoint_materials/annot_043_checkpoints.json,endpoint_materials/annot_043_endpoint.json,False,False,True,True,True,True
annot_044,hash_827975,dtest,onset_none,extra_hard,What is the average status of players?,customer_complaints,spider_database_schema_files/customer_complaints_schema.sql,sha256:4d8ffa71fc72b841,spider_database_schema_files/customer_complaints_fk.json,3,checkpoint_materials/annot_044_checkpoints.json,endpoint_materials/annot_044_endpoint.json,False,False,False,True,True,True
annot_045,hash_173523,dtest,onset_t0,hard,List patients ordered by price descending.,car_1,spider_database_schema_files/car_1_schema.sql,sha256:3c65ef3fdcdada58,spider_database_schema_files/car_1_fk.json,6,checkpoint_materials/annot_045_checkpoints.json,endpoint_materials/annot_045_endpoint.json,False,True,False,True,True,True
annot_046,hash_860463,dtest,onset_t2,hard,Find the salary of departments that salary is true.,car_1,spider_database_schema_files/car_1_schema.sql,sha256:a379fe748d64cafb,spider_database_schema_files/car_1_fk.json,5,checkpoint_materials/annot_046_checkpoints.json,endpoint_materials/annot_046_endpoint.json,False,False,False,True,True,True
annot_047,hash_194476,dtest,onset_t0,hard,What is the minimum type among manufacturers with type is USA?,car_1,spider_database_schema_files/car_1_schema.sql,sha256:13e035b61bda8e2a,spider_database_schema_files/car_1_fk.json,4,checkpoint_materials/annot_047_checkpoints.json,endpoint_materials/annot_047_endpoint.json,False,False,True,True,True,True
annot_048,hash_333841,dtest,onset_t0,medium,Show me the teachers where type is true.,hospital,spider_database_schema_files/hospital_schema.sql,sha256:2481f0c78ae755b7,spider_database_schema_files/hospital_fk.json,5,checkpoint_materials/annot_048_checkpoints.json,endpoint_materials/annot_048_endpoint.json,False,False,True,True,True,True
annot_049,hash_903451,dtest,onset_t0,hard,What are the names of all complaints?,world_1,spider_database_schema_files/world_1_schema.sql,sha256:e142b5cca19f5961,spider_database_schema_files/world_1_fk.json,4,checkpoint_materials/annot_049_checkpoints.json,endpoint_materials/annot_049_endpoint.json,True,False,False,True,True,True
annot_050,hash_970045,dtest,onset_t1,hard,List cities ordered by date descending.,employee_hire_evaluation,spider_database_schema_files/employee_hire_evaluation_schema.sql,sha256:42e757ceeec4737d,spider_database_schema_files/employee_hire_evaluation_fk.json,5,checkpoint_materials/annot_050_checkpoints.json,endpoint_materials/annot_050_endpoint.json,False,False,False,True,True,True
annot_051,hash_322866,dtest,onset_t0,medium,Which dogs do not have a number?,concert_singer,spider_database_schema_files/concert_singer_schema.sql,sha256:2632b110179c6fa0,spider_database_schema_files/concert_singer_fk.json,5,checkpoint_materials/annot_051_checkpoints.json,endpoint_materials/annot_051_endpoint.json,False,False,False,True,True,True
annot_052,hash_186672,dtest,onset_none,medium,Find the year of singers that year is A.,store_1,spider_database_schema_files/store_1_schema.sql,sha256:88a2aa80b7e11c0c,spider_database_schema_files/store_1_fk.json,6,checkpoint_materials/annot_052_checkpoints.json,endpoint_materials/annot_052_endpoint.json,False,False,False,True,True,True
annot_053,hash_698135,dtest,onset_t1,hard,Show the dogs grouped by category having count greater than 9.,flight_2,spider_database_schema_files/flight_2_schema.sql,sha256:ffc0c139d886ad70,spider_database_schema_files/flight_2_fk.json,5,checkpoint_materials/annot_053_checkpoints.json,endpoint_materials/annot_053_endpoint.json,False,False,False,True,True,True
annot_054,hash_444894,dtest,onset_t2,medium,What are the names of all kennels?,flight_2,spider_database_schema_files/flight_2_schema.sql,sha256:4d6f2a6e40a7dfb3,spider_database_schema_files/flight_2_fk.json,4,checkpoint_materials/annot_054_checkpoints.json,endpoint_materials/annot_054_endpoint.json,True,False,False,True,True,True
annot_055,hash_834994,dtest,onset_t1,medium,List the airports with rating greater than 50.,hospital,spider_database_schema_files/hospital_schema.sql,sha256:e43aff688d61d186,spider_database_schema_files/hospital_fk.json,4,checkpoint_materials/annot_055_checkpoints.json,endpoint_materials/annot_055_endpoint.json,False,False,False,True,True,True
annot_056,hash_128251,dtest,uncertain,medium,Show me the cities where type is open.,course_teach,spider_database_schema_files/course_teach_schema.sql,sha256:1e68d56b48ccdd34,spider_database_schema_files/course_teach_fk.json,5,checkpoint_materials/annot_056_checkpoints.json,endpoint_materials/annot_056_endpoint.json,False,False,False,True,True,True
annot_057,hash_727769,dtest,onset_t2,medium,Find all manufacturers joined with dogs on type.,store_1,spider_database_schema_files/store_1_schema.sql,sha256:4ed4731ff1083745,spider_database_schema_files/store_1_fk.json,5,checkpoint_materials/annot_057_checkpoints.json,endpoint_materials/annot_057_endpoint.json,True,False,False,True,True,True
annot_058,hash_474710,dtest,onset_t1,medium,List the departments with salary greater than 72.,hospital,spider_database_schema_files/hospital_schema.sql,sha256:3617b2a815455d9d,spider_database_schema_files/hospital_fk.json,5,checkpoint_materials/annot_058_checkpoints.json,endpoint_materials/annot_058_endpoint.json,False,False,False,True,True,True
annot_059,hash_650233,dtest,onset_t1,medium,Show the orders grouped by country having count greater than 13.,soccer_1,spider_database_schema_files/soccer_1_schema.sql,sha256:e1e183a5832fc671,spider_database_schema_files/soccer_1_fk.json,5,checkpoint_materials/annot_059_checkpoints.json,endpoint_materials/annot_059_endpoint.json,False,False,False,True,True,True
annot_060,hash_977284,dtest,onset_t0,medium,List the players with rating greater than 54.,customer_complaints,spider_database_schema_files/customer_complaints_schema.sql,sha256:2f40a7ee37df02a8,spider_database_schema_files/customer_complaints_fk.json,5,checkpoint_materials/annot_060_checkpoints.json,endpoint_materials/annot_060_endpoint.json,False,False,False,True,True,True
annot_061,hash_132217,dtest,onset_t0,hard,What is the average size of courses?,flight_2,spider_database_schema_files/flight_2_schema.sql,sha256:f0c18e82e23d2e32,spider_database_schema_files/flight_2_fk.json,3,checkpoint_materials/annot_061_checkpoints.json,endpoint_materials/annot_061_endpoint.json,False,False,False,True,True,True
annot_062,hash_108308,dtest,onset_t2,medium,Which manufacturers do not have a date?,flight_2,spider_database_schema_files/flight_2_schema.sql,sha256:c8d234fb0b4b4a94,spider_database_schema_files/flight_2_fk.json,5,checkpoint_materials/annot_062_checkpoints.json,endpoint_materials/annot_062_endpoint.json,False,False,False,True,True,True
annot_063,hash_368093,dtest,onset_none,hard,What are the names of all students?,car_1,spider_database_schema_files/car_1_schema.sql,sha256:454cf120dfe1aa68,spider_database_schema_files/car_1_fk.json,3,checkpoint_materials/annot_063_checkpoints.json,endpoint_materials/annot_063_endpoint.json,True,False,False,True,True,True
annot_064,hash_283062,dtest,onset_t2,medium,Find the teachers that has the most students.,employee_hire_evaluation,spider_database_schema_files/employee_hire_evaluation_schema.sql,sha256:4f35bea0ad2adff5,spider_database_schema_files/employee_hire_evaluation_fk.json,4,checkpoint_materials/annot_064_checkpoints.json,endpoint_materials/annot_064_endpoint.json,False,True,False,True,True,True
annot_065,hash_494366,dtest,onset_t0,extra_hard,What is the total type for each kennels?,dog_kennels,spider_database_schema_files/dog_kennels_schema.sql,sha256:861a0a9670c41c79,spider_database_schema_files/dog_kennels_fk.json,5,checkpoint_materials/annot_065_checkpoints.json,endpoint_materials/annot_065_endpoint.json,False,False,False,True,True,True
annot_066,hash_844840,dtest,onset_t0,medium,Count the number of flights per type.,hospital,spider_database_schema_files/hospital_schema.sql,sha256:76a66791cba7c8bb,spider_database_schema_files/hospital_fk.json,5,checkpoint_materials/annot_066_checkpoints.json,endpoint_materials/annot_066_endpoint.json,False,False,False,True,True,True
annot_067,hash_200235,dtest,onset_t1,easy,Find cities where count is between 59 and 112.,cre_Doc_Template_Mgt,spider_database_schema_files/cre_Doc_Template_Mgt_schema.sql,sha256:f5ab7fc8da1600c9,spider_database_schema_files/cre_Doc_Template_Mgt_fk.json,5,checkpoint_materials/annot_067_checkpoints.json,endpoint_materials/annot_067_endpoint.json,False,False,False,True,True,True
annot_068,hash_174740,dtest,onset_t2,easy,List matches ordered by id descending.,course_teach,spider_database_schema_files/course_teach_schema.sql,sha256:33c7b5a0059b061a,spider_database_schema_files/course_teach_fk.json,6,checkpoint_materials/annot_068_checkpoints.json,endpoint_materials/annot_068_endpoint.json,True,False,True,True,True,True
annot_069,hash_478496,dtest,onset_t1,extra_hard,What is the minimum type among flights with type is premium?,employee_hire_evaluation,spider_database_schema_files/employee_hire_evaluation_schema.sql,sha256:20c104861f28ecca,spider_database_schema_files/employee_hire_evaluation_fk.json,5,checkpoint_materials/annot_069_checkpoints.json,endpoint_materials/annot_069_endpoint.json,False,False,True,True,True,True
annot_070,hash_953049,dtest,onset_t1,medium,List the top 25 departments by year.,car_1,spider_database_schema_files/car_1_schema.sql,sha256:581bc91791749dde,spider_database_schema_files/car_1_fk.json,4,checkpoint_materials/annot_070_checkpoints.json,endpoint_materials/annot_070_endpoint.json,False,False,False,True,True,True
annot_071,hash_850201,dtest,onset_t0,extra_hard,List the patients with number greater than 42.,store_1,spider_database_schema_files/store_1_schema.sql,sha256:fe7809b030a0ec96,spider_database_schema_files/store_1_fk.json,4,checkpoint_materials/annot_071_checkpoints.json,endpoint_materials/annot_071_endpoint.json,False,False,False,True,True,True
annot_072,hash_903328,dtest,onset_t0,medium,Find all singers joined with matches on budget.,flight_2,spider_database_schema_files/flight_2_schema.sql,sha256:cd65bba8ed438bc0,spider_database_schema_files/flight_2_fk.json,5,checkpoint_materials/annot_072_checkpoints.json,endpoint_materials/annot_072_endpoint.json,False,True,False,True,True,True
annot_073,hash_277247,dtest,boundary,medium,How many kennels have status equal to true?,soccer_1,spider_database_schema_files/soccer_1_schema.sql,sha256:05deef972be5cd3f,spider_database_schema_files/soccer_1_fk.json,5,checkpoint_materials/annot_073_checkpoints.json,endpoint_materials/annot_073_endpoint.json,True,False,True,True,True,True
annot_074,hash_763165,dtest,onset_t0,medium,Find the students that has the most cities.,cre_Doc_Template_Mgt,spider_database_schema_files/cre_Doc_Template_Mgt_schema.sql,sha256:51a37147099abca7,spider_database_schema_files/cre_Doc_Template_Mgt_fk.json,5,checkpoint_materials/annot_074_checkpoints.json,endpoint_materials/annot_074_endpoint.json,False,False,False,True,True,True
annot_075,hash_629525,dtest,onset_t2,medium,Find products where age is between 2 and 160.,soccer_1,spider_database_schema_files/soccer_1_schema.sql,sha256:21b6202ff47d3366,spider_database_schema_files/soccer_1_fk.json,3,checkpoint_materials/annot_075_checkpoints.json,endpoint_materials/annot_075_endpoint.json,False,False,True,True,True,True
annot_076,hash_120056,dtest,onset_t1,medium,Find students where count is between 24 and 86.,store_1,spider_database_schema_files/store_1_schema.sql,sha256:b0e4fb9e3d2fbae2,spider_database_schema_files/store_1_fk.json,6,checkpoint_materials/annot_076_checkpoints.json,endpoint_materials/annot_076_endpoint.json,False,False,False,True,True,True
annot_077,hash_276615,dtest,onset_t2,medium,Show the manufacturers grouped by status having count greater than 2.,customer_complaints,spider_database_schema_files/customer_complaints_schema.sql,sha256:f350e3fe428f41b5,spider_database_schema_files/customer_complaints_fk.json,3,checkpoint_materials/annot_077_checkpoints.json,endpoint_materials/annot_077_endpoint.json,False,False,False,True,True,True
annot_078,hash_287628,dtest,onset_t0,easy,How many manufacturers are there?,course_teach,spider_database_schema_files/course_teach_schema.sql,sha256:62e036a3e57379b5,spider_database_schema_files/course_teach_fk.json,3,checkpoint_materials/annot_078_checkpoints.json,endpoint_materials/annot_078_endpoint.json,False,False,False,True,True,True
annot_079,hash_738836,dtest,onset_t1,hard,Find the name of dogs that name is active.,dog_kennels,spider_database_schema_files/dog_kennels_schema.sql,sha256:f4acedc36e4149da,spider_database_schema_files/dog_kennels_fk.json,3,checkpoint_materials/annot_079_checkpoints.json,endpoint_materials/annot_079_endpoint.json,False,False,False,True,True,True
annot_080,hash_473632,dtest,onset_t0,hard,What is the minimum type among students with type is true?,course_teach,spider_database_schema_files/course_teach_schema.sql,sha256:401cfb081ffe1a3d,spider_database_schema_files/course_teach_fk.json,4,checkpoint_materials/annot_080_checkpoints.json,endpoint_materials/annot_080_endpoint.json,False,False,True,True,True,True
annot_081,hash_234415,dtest,onset_none,extra_hard,Which dogs has the highest age?,store_1,spider_database_schema_files/store_1_schema.sql,sha256:8dccd4a7464b23be,spider_database_schema_files/store_1_fk.json,4,checkpoint_materials/annot_081_checkpoints.json,endpoint_materials/annot_081_endpoint.json,False,False,True,True,True,True
annot_082,hash_506716,dtest,onset_t0,hard,Which singers has the highest number?,customer_complaints,spider_database_schema_files/customer_complaints_schema.sql,sha256:221aa2641320ccbe,spider_database_schema_files/customer_complaints_fk.json,3,checkpoint_materials/annot_082_checkpoints.json,endpoint_materials/annot_082_endpoint.json,False,True,False,True,True,True
annot_083,hash_546438,dtest,uncertain,hard,What is the total score for each cities?,customer_complaints,spider_database_schema_files/customer_complaints_schema.sql,sha256:55c7fb5ce544a6a3,spider_database_schema_files/customer_complaints_fk.json,5,checkpoint_materials/annot_083_checkpoints.json,endpoint_materials/annot_083_endpoint.json,False,False,True,True,True,True
annot_084,hash_653663,dtest,onset_t0,medium,What are the names of all products?,course_teach,spider_database_schema_files/course_teach_schema.sql,sha256:20a85791c18ea0ef,spider_database_schema_files/course_teach_fk.json,4,checkpoint_materials/annot_084_checkpoints.json,endpoint_materials/annot_084_endpoint.json,False,False,False,True,True,True
annot_085,hash_765022,dtest,onset_t1,extra_hard,List patients ordered by year descending.,concert_singer,spider_database_schema_files/concert_singer_schema.sql,sha256:9f12b25843263893,spider_database_schema_files/concert_singer_fk.json,5,checkpoint_materials/annot_085_checkpoints.json,endpoint_materials/annot_085_endpoint.json,False,False,False,True,True,True
