case_id,spider_question_id,database_id,spider_question_text,question_language
case_059,question_059,world_1,Show the orders grouped by country having count greater than 13.,en
case_060,question_060,customer_complaints,List the players with rating greater than 54.,en
case_061,question_061,customer_complaints,What is the average size of courses?,en
case_062,question_062,car_1,Which manufacturers do not have a date?,en
case_063,question_063,flight_2,What are the names of all students?,en
case_064,question_064,flight_2,Find the teachers that has the most students.,en
case_065,question_065,cre_Doc_Template_Mgt,What is the total type for each kennels?,en
case_066,question_066,cre_Doc_Template_Mgt,Count the number of flights per type.,en
case_067,question_067,world_1,Find cities where count is between 59 and 112.,en
case_068,question_068,course_teach,List matches ordered by id descending.,en
case_069,question_069,dog_kennels,What is the minimum type among flights with type is premium?,en
case_070,question_070,cre_Doc_Template_Mgt,List the top 25 departments by year.,en
case_071,question_071,concert_singer,List the patients with number greater than 42.,en
case_072,question_072,store_1,Find all singers joined with matches on budget.,en
case_073,question_073,car_1,How many kennels have status equal to true?,en
case_074,question_074,car_1,Find the students that has the most cities.,en
case_075,question_075,cre_Doc_Template_Mgt,Find products where age is between 2 and 160.,en
case_076,question_076,customer_complaints,Find students where count is between 24 and 86.,en
case_077,question_077,soccer_1,Show the manufacturers grouped by status having count greater than 2.,en
case_078,question_078,course_teach,How many manufacturers are there?,en
case_079,question_079,flight_2,Find the name of dogs that name is active.,en
case_080,question_080,course_teach,What is the minimum type among students with type is true?,en
case_081,question_081,soccer_1,Which dogs has the highest age?,en
case_082,question_082,soccer_1,Which singers has the highest number?,en
case_083,question_083,world_1,What is the total score for each cities?,en
case_084,question_084,store_1,What are the names of all products?,en
case_085,question_085,course_teach,List patients ordered by year descending.,en
case_086,question_086,store_1,Show the kennels grouped by year having count greater than 43.,en
case_087,question_087,car_1,How many students are there?,en
case_088,question_088,customer_complaints,Find all orders joined with countries on status.,en
case_089,question_089,customer_complaints,List the singers with name greater than 53.,en
case_090,question_090,hospital,Show the size and score of all cities.,en
case_091,question_091,dog_kennels,What is the minimum id among countries with id is premium?,en
case_092,question_092,concert_singer,What is the average rating of airports?,en
case_093,question_093,store_1,Find the complaints that has the most teachers.,en
case_094,question_094,store_1,What are the names of all orders?,en
case_095,question_095,store_1,"What concerts have count in (true, B)?",en
case_096,question_096,employee_hire_evaluation,Which countries has the highest budget?,en
case_097,question_097,course_teach,Find all countries joined with courses on salary.,en
case_098,question_098,course_teach,"What employees have status in (true, inactive)?",en
case_099,question_099,store_1,What is the minimum score among employees with score is true?,en
case_100,question_100,store_1,List the kennels with name greater than 13.,en
