case_id,difficulty_tier
dtest_case_0245,standard
dtest_case_0246,standard
dtest_case_0247,standard
dtest_case_0248,standard
dtest_case_0249,deep_nesting
dtest_case_0250,complex
dtest_case_0251,complex
dtest_case_0252,complex
dtest_case_0253,complex
dtest_case_0254,standard
dtest_case_0255,complex
dtest_case_0256,standard
dtest_case_0257,complex
dtest_case_0258,complex
dtest_case_0259,complex
dtest_case_0260,standard
dtest_case_0261,complex
dtest_case_0262,standard
dtest_case_0263,complex
dtest_case_0264,complex
dtest_case_0265,standard
dtest_case_0266,standard
dtest_case_0267,standard
dtest_case_0268,deep_nesting
dtest_case_0269,deep_nesting
dtest_case_0270,standard
dtest_case_0271,complex
dtest_case_0272,complex
dtest_case_0273,standard
dtest_case_0274,standard
dtest_case_0275,standard
dtest_case_0276,standard
dtest_case_0277,standard
dtest_case_0278,deep_nesting
dtest_case_0279,complex
dtest_case_0280,standard
dtest_case_0281,complex
dtest_case_0282,standard
dtest_case_0283,standard
dtest_case_0284,deep_nesting
dtest_case_0285,standard
dtest_case_0286,complex
dtest_case_0287,standard
dtest_case_0288,standard
dtest_case_0289,standard
dtest_case_0290,complex
dtest_case_0291,standard
dtest_case_0292,standard
dtest_case_0293,complex
dtest_case_0294,standard
dtest_case_0295,standard
dtest_case_0296,standard
dtest_case_0297,standard
dtest_case_0298,standard
dtest_case_0299,standard
dtest_case_0300,standard
dtest_case_0301,standard
dtest_case_0302,complex
dtest_case_0303,complex
dtest_case_0304,standard
dtest_case_0305,complex
dtest_case_0306,standard
dtest_case_0307,standard
dtest_case_0308,standard
dtest_case_0309,standard
dtest_case_0310,standard
dtest_case_0311,complex
dtest_case_0312,complex
dtest_case_0313,complex
dtest_case_0314,standard
dtest_case_0315,complex
dtest_case_0316,standard
dtest_case_0317,deep_nesting
dtest_case_0318,standard
dtest_case_0319,standard
dtest_case_0320,standard
dtest_case_0321,standard
dtest_case_0322,complex
dtest_case_0323,standard
dtest_case_0324,standard
dtest_case_0325,complex
dtest_case_0326,standard
dtest_case_0327,standard
dtest_case_0328,complex
dtest_case_0329,complex
dtest_case_0330,complex
dtest_case_0331,complex
dtest_case_0332,deep_nesting
dtest_case_0333,standard
dtest_case_0334,standard
dtest_case_0335,standard
dtest_case_0336,deep_nesting
dtest_case_0337,complex
dtest_case_0338,standard
dtest_case_0339,deep_nesting
dtest_case_0340,standard
dtest_case_0341,standard
dtest_case_0342,complex
dtest_case_0343,deep_nesting
dtest_case_0344,deep_nesting
dtest_case_0345,standard
dtest_case_0346,standard
dtest_case_0347,standard
dtest_case_0348,standard
dtest_case_0349,standard
dtest_case_0350,standard
dtest_case_0351,deep_nesting
dtest_case_0352,standard
dtest_case_0353,standard
dtest_case_0354,standard
dtest_case_0355,standard
dtest_case_0356,standard
dtest_case_0357,standard
dtest_case_0358,standard
dtest_case_0359,complex
dtest_case_0360,standard
dtest_case_0361,standard
dtest_case_0362,standard
dtest_case_0363,complex
dtest_case_0364,standard
dtest_case_0365,standard
dtest_case_0366,complex
dtest_case_0367,standard
dtest_case_0368,complex
